Time,Heart Rate
06:16:48,70
06:17:03,74
06:17:08,86
06:17:13,84
06:17:18,82
06:17:23,80
06:17:28,79
06:17:33,81
06:17:38,83
06:17:43,85
06:17:53,86
06:18:08,88
06:18:13,91
06:18:18,92
06:18:28,93
06:18:33,89
06:18:38,87
06:18:43,88
06:18:48,90
06:18:53,91
06:19:08,93
06:19:18,92
06:19:23,91
06:19:28,90
06:19:33,91
06:19:38,93
06:19:43,93
06:19:58,93
06:20:03,92
06:20:08,91
06:20:13,90
06:20:18,89
06:20:33,89
06:20:43,87
06:20:48,85
06:20:53,83
06:20:58,75
06:21:03,70
06:21:08,65
06:21:13,68
06:21:18,69
06:21:23,64
06:21:28,63
06:21:33,63
06:21:43,65
06:21:48,68
06:21:53,70
06:22:03,71
06:22:08,72
06:22:13,70
06:22:18,64
06:22:23,62
06:22:29,62
06:22:34,62
06:22:44,63
06:22:49,68
06:22:54,69
06:22:59,67
06:23:04,66
06:23:09,65
06:23:24,64
06:23:29,63
06:23:34,62
06:23:44,63
06:23:59,65
06:24:09,63
06:24:14,62
06:24:19,61
06:24:24,62
06:24:29,64
06:24:44,65
06:24:49,64
06:25:04,64
06:25:09,63
06:25:24,63
06:25:34,63
06:25:49,64
06:25:54,66
06:25:59,65
06:26:04,65
06:26:19,65
06:26:24,66
06:26:39,66
06:26:44,66
06:26:49,67
06:26:54,67
06:27:04,65
06:27:14,66
06:27:29,66
06:27:39,68
06:27:44,69
06:27:49,67
06:27:54,66
06:28:04,65
06:28:09,65
06:28:14,66
06:28:24,68
06:28:39,68
06:28:44,73
06:28:59,73
06:29:04,74
06:29:09,75
06:29:24,75
06:29:34,74
06:29:40,73
06:29:55,74
06:30:10,74
06:30:15,75
06:30:25,75
06:30:35,76
06:30:40,77
06:30:45,78
06:31:00,78
06:31:10,77
06:31:15,76
06:31:20,77
06:31:25,78
06:31:40,77
06:31:55,77
06:32:00,78
06:32:10,82
06:32:15,85
06:32:20,85
06:32:30,79
06:32:40,78
06:32:45,76
06:32:50,77
06:32:55,78
06:33:10,78
06:33:15,79
06:33:22,79
06:33:27,77
06:33:32,75
06:33:37,73
06:33:47,74
06:33:52,74
06:33:57,72
06:34:02,73
06:34:07,72
06:34:12,73
06:34:17,75
06:34:22,75
06:34:27,72
06:34:32,69
06:34:37,70
06:34:52,72
06:35:02,73
06:35:17,73
06:35:22,76
06:35:27,77
06:35:32,75
06:35:37,74
06:35:47,72
06:35:52,70
06:35:57,70
06:36:12,70
06:36:16,71
06:36:21,74
06:36:26,77
06:36:31,76
06:36:36,76
06:36:41,75
06:36:46,72
06:36:51,75
06:36:56,73
06:37:11,73
06:37:26,73
06:37:31,79
06:37:36,81
06:37:41,79
06:37:46,78
06:38:01,78
06:38:16,76
06:38:21,76
06:38:26,77
06:38:31,76
06:38:46,76
06:38:51,79
06:38:56,80
06:39:02,81
06:39:07,83
06:39:12,84
06:39:27,83
06:39:37,80
06:39:52,82
06:39:57,83
06:40:02,77
06:40:07,76
06:40:22,81
06:40:32,78
06:40:37,79
06:40:42,81
06:40:47,83
06:40:57,83
06:41:07,83
06:41:12,84
06:41:27,84
06:41:32,85
